4.040000000000000000e+02,2.710000000000000000e+02
4.240000000000000000e+02,2.690000000000000000e+02
4.230000000000000000e+02,2.620000000000000000e+02
4.020000000000000000e+02,2.570000000000000000e+02
4.230000000000000000e+02,2.560000000000000000e+02
3.810000000000000000e+02,1.140000000000000000e+02
4.230000000000000000e+02,1.110000000000000000e+02
3.800000000000000000e+02,9.500000000000000000e+01
4.140000000000000000e+02,9.300000000000000000e+01
3.790000000000000000e+02,7.700000000000000000e+01
4.200000000000000000e+02,7.400000000000000000e+01
